;average_qli;ALTERNATIVE0;FPM_DISTRIBUTION;siglas;ln_populacao_acp;area_acp;pct_superior_completo;num_mun_na_acp;hhi
7;0.6193;True;True;BELEM;14.62301134484876;2851.6659999999997;13.048893069272436;5;0.018237502018989216
15;0.6166;False;False;BELEM;14.62301134484876;2851.6659999999997;13.048893069272436;5;0.018237502018989216
23;0.6275;False;True;BELEM;14.62301134484876;2851.6659999999997;13.048893069272436;5;0.018237502018989216
31;0.5909;True;False;BELEM;14.62301134484876;2851.6659999999997;13.048893069272436;5;0.018237502018989216
39;0.6866;True;False;BH;15.503410421642227;6829.263999999997;14.57304739811445;28;0.012190790155191854
47;0.7059;False;False;BH;15.503410421642227;6829.263999999997;14.57304739811445;28;0.012190790155191854
55;0.7217;True;True;BH;15.503410421642227;6829.263999999997;14.57304739811445;28;0.012190790155191854
63;0.721;False;True;BH;15.503410421642227;6829.263999999997;14.57304739811445;28;0.012190790155191854
71;0.6313;True;False;BSB;15.181839173484914;23014.693;19.144677472978564;10;0.015003103578794525
79;0.6758;False;True;BSB;15.181839173484914;23014.693;19.144677472978564;10;0.015003103578794525
87;0.6674;False;False;BSB;15.181839173484914;23014.693;19.144677472978564;10;0.015003103578794525
95;0.6692;True;True;BSB;15.181839173484914;23014.693;19.144677472978564;10;0.015003103578794525
103;0.7901;False;True;CAMPINAS;14.86750003206307;2815.085;17.833426244246642;14;0.009677402421859022
111;0.7884;True;True;CAMPINAS;14.86750003206307;2815.085;17.833426244246642;14;0.009677402421859022
119;0.7908;True;False;CAMPINAS;14.86750003206307;2815.085;17.833426244246642;14;0.009677402421859022
127;0.7829;False;False;CAMPINAS;14.86750003206307;2815.085;17.833426244246642;14;0.009677402421859022
135;0.6752;True;False;CURITIBA;14.995451189061745;6019.3229999999985;17.246677717551258;14;0.011565477303381486
143;0.7126;False;True;CURITIBA;14.995451189061745;6019.3229999999985;17.246677717551258;14;0.011565477303381486
151;0.7072;False;False;CURITIBA;14.995451189061745;6019.3229999999985;17.246677717551258;14;0.011565477303381486
159;0.7173;True;True;CURITIBA;14.995451189061745;6019.3229999999985;17.246677717551258;14;0.011565477303381486
167;0.5849;True;False;FORTAL;15.079059717219787;3085.969;11.118404913995269;8;0.015760703824949117
175;0.6344;True;True;FORTAL;15.079059717219787;3085.969;11.118404913995269;8;0.015760703824949117
183;0.6242;False;False;FORTAL;15.079059717219787;3085.969;11.118404913995269;8;0.015760703824949117
191;0.634;False;True;FORTAL;15.079059717219787;3085.969;11.118404913995269;8;0.015760703824949117
199;0.6809;False;False;GOIANIA;14.624282001261749;2529.5460000000003;13.381268386125743;7;0.013763962782596062
207;0.6615;True;False;GOIANIA;14.624282001261749;2529.5460000000003;13.381268386125743;7;0.013763962782596062
215;0.6871;True;True;GOIANIA;14.624282001261749;2529.5460000000003;13.381268386125743;7;0.013763962782596062
223;0.7026;False;True;GOIANIA;14.624282001261749;2529.5460000000003;13.381268386125743;7;0.013763962782596062
231;0.6261;False;True;J. PESSOA;13.915685250454553;1192.235;13.374508991281958;5;0.0225998172727865
239;0.6224;False;False;J. PESSOA;13.915685250454553;1192.235;13.374508991281958;5;0.0225998172727865
247;0.5986;True;False;J. PESSOA;13.915685250454553;1192.235;13.374508991281958;5;0.0225998172727865
255;0.6214;True;True;J. PESSOA;13.915685250454553;1192.235;13.374508991281958;5;0.0225998172727865
263;0.5167;True;False;MACEIO;13.925256045564856;913.1010000000001;11.405095405269554;5;0.025809162756767257
271;0.5694;False;False;MACEIO;13.925256045564856;913.1010000000001;11.405095405269554;5;0.025809162756767257
279;0.5781;True;True;MACEIO;13.925256045564856;913.1010000000001;11.405095405269554;5;0.025809162756767257
287;0.5723;False;True;MACEIO;13.925256045564856;913.1010000000001;11.405095405269554;5;0.025809162756767257
295;0.6386;False;True;NATAL;14.141889889283352;1788.3770000000002;12.877824008803;7;0.01949603285656967
303;0.6412;False;False;NATAL;14.141889889283352;1788.3770000000002;12.877824008803;7;0.01949603285656967
311;0.5994;True;False;NATAL;14.141889889283352;1788.3770000000002;12.877824008803;7;0.01949603285656967
319;0.6348;True;True;NATAL;14.141889889283352;1788.3770000000002;12.877824008803;7;0.01949603285656967
327;0.757;False;False;POA;14.933874819050855;3894.228;14.49355276955679;11;0.013703191968015695
335;0.7624;False;True;POA;14.933874819050855;3894.228;14.49355276955679;11;0.013703191968015695
343;0.7603;True;True;POA;14.933874819050855;3894.228;14.49355276955679;11;0.013703191968015695
351;0.7344;True;False;POA;14.933874819050855;3894.228;14.49355276955679;11;0.013703191968015695
359;0.6218;True;False;RECIFE;15.183021866844644;2763.9390000000003;13.753746426176608;14;0.01392591827162328
367;0.6624;False;False;RECIFE;15.183021866844644;2763.9390000000003;13.753746426176608;14;0.01392591827162328
375;0.6706;False;True;RECIFE;15.183021866844644;2763.9390000000003;13.753746426176608;14;0.01392591827162328
383;0.6645;True;True;RECIFE;15.183021866844644;2763.9390000000003;13.753746426176608;14;0.01392591827162328
391;0.7567;False;False;RJ;16.325316465656698;6290.925000000001;17.205784997290998;19;0.012938028199042316
399;0.7269;True;False;RJ;16.325316465656698;6290.925000000001;17.205784997290998;19;0.012938028199042316
407;0.7759;True;True;RJ;16.325316465656698;6290.925000000001;17.205784997290998;19;0.012938028199042316
415;0.7701;False;True;RJ;16.325316465656698;6290.925000000001;17.205784997290998;19;0.012938028199042316
423;0.6307;True;False;SALVADOR;15.169564486985117;3763.922;12.727043030338168;11;0.015134211236684887
431;0.6661;False;True;SALVADOR;15.169564486985117;3763.922;12.727043030338168;11;0.015134211236684887
439;0.6625;True;True;SALVADOR;15.169564486985117;3763.922;12.727043030338168;11;0.015134211236684887
447;0.6559999999999999;False;False;SALVADOR;15.169564486985117;3763.922;12.727043030338168;11;0.015134211236684887
455;0.7759;False;True;SANTOS;14.364945554206756;2095.946;13.590176515732924;8;0.01759652885915858
463;0.7722;False;False;SANTOS;14.364945554206756;2095.946;13.590176515732924;8;0.01759652885915858
471;0.7698;True;True;SANTOS;14.364945554206756;2095.946;13.590176515732924;8;0.01759652885915858
479;0.7609;True;False;SANTOS;14.364945554206756;2095.946;13.590176515732924;8;0.01759652885915858
487;0.7982;True;True;SJC;14.230368085546415;3478.766;16.47520748160025;6;0.01143718091146413
495;0.7977;False;False;SJC;14.230368085546415;3478.766;16.47520748160025;6;0.01143718091146413
503;0.8054;False;True;SJC;14.230368085546415;3478.766;16.47520748160025;6;0.01143718091146413
511;0.7904;True;False;SJC;14.230368085546415;3478.766;16.47520748160025;6;0.01143718091146413
519;0.5737;True;False;SAO LUIS;14.148972554068608;1412.264;11.679183877832019;4;0.026196672407650945
527;0.6209;False;False;SAO LUIS;14.148972554068608;1412.264;11.679183877832019;4;0.026196672407650945
535;0.6128;True;True;SAO LUIS;14.148972554068608;1412.264;11.679183877832019;4;0.026196672407650945
543;0.6201;False;True;SAO LUIS;14.148972554068608;1412.264;11.679183877832019;4;0.026196672407650945
551;0.7676;False;False;SP;16.88563399928261;9718.211;20.614866085632926;47;0.011793108007192785
559;0.7545;True;False;SP;16.88563399928261;9718.211;20.614866085632926;47;0.011793108007192785
567;0.7916;True;True;SP;16.88563399928261;9718.211;20.614866085632926;47;0.011793108007192785
575;0.7959999999999999;False;True;SP;16.88563399928261;9718.211;20.614866085632926;47;0.011793108007192785
583;0.7625;False;False;SOROCABA;14.046538148404661;2919.6479999999997;13.516940885738439;9;0.010382818576736836
591;0.7686;False;True;SOROCABA;14.046538148404661;2919.6479999999997;13.516940885738439;9;0.010382818576736836
599;0.7609999999999999;True;False;SOROCABA;14.046538148404661;2919.6479999999997;13.516940885738439;9;0.010382818576736836
607;0.772;True;True;SOROCABA;14.046538148404661;2919.6479999999997;13.516940885738439;9;0.010382818576736836
615;0.7289;False;False;VITORIA;14.452148760813794;2038.557;13.580348082616444;6;0.012961752133088388
623;0.7292;True;True;VITORIA;14.452148760813794;2038.557;13.580348082616444;6;0.012961752133088388
631;0.732;True;False;VITORIA;14.452148760813794;2038.557;13.580348082616444;6;0.012961752133088388
639;0.733;False;True;VITORIA;14.452148760813794;2038.557;13.580348082616444;6;0.012961752133088388
